Name,Street,Block,Building,PostalCode,Status,Description,PhotoURL,Latitude,Longitude
Market Street Hawker Centre,Market Street,50,CapitaSpring,048947,Existing (replacement),New Replacement Centre,,1.28442485,103.8501646
Marsiling Mall Hawker Centre,Woodlands Street 12,4,Marsiling Mall,738623,Existing (replacement),New Replacement Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg,1.433538857,103.7797849
Margaret Drive Hawker Centre,Margaret Drive,38A,,142038,Existing (replacement),New Replacement Centre,,1.297485671,103.8047152
Fernvale Hawker Centre & Market,Sengkang West Avenue,21,"Fernvale Community Club, Hawker Centre & Market",797650,Existing (new),New Centre,,1.391592327,103.8770605
One Punggol Hawker Centre,Punggol Drive,1,One Punggol,828629,Existing (new),New Centre,,1.408189969,103.9048057
Bukit Canberra Hawker Centre,Canberra Link,21,Bukit Canberra,756973,Existing (new),New Centre,,1.449016742,103.822485
Senja Hawker Centre,Senja Close,2,,677632,Existing (new),New Centre,,1.387135731,103.7610178
Buangkok Hawker Centre,Compassvale Bow,72,Sengkang Grand Mall,544692,Under Construction,New Centre,,1.382387558,103.8924032
Bukit Batok West Hawker Centre,Bukit Batok West Avenue 9,469A,Harmony Village,651469,Under Construction,New Centre,,1.355214571,103.7418258
Telok Blangah Hawker Centre & Market,Telok Blangah Drive,78C,Telok Blangah Beacon,103078,Under Construction,New Replacement Centre,,1.27324864,103.8080787
Bedok North Street 3 Blk 538,Bedok North Street 3,538,,460538,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262227194623.jpg,1.331781251,103.9248442
Bedok North Street 4 Blk 85 (85 Fengshan Centre),Bedok North Street 4,85,,460085,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg,1.331987069,103.9387326
Adam Road Food Centre,Adam Road,2,,289876,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg,1.324134223,103.814165
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),Aljunied Ave 2,117,,380117,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154437879.jpg,1.320648292,103.887019
